año_ocu,color_veh,depto_ocu,día_ocu,día_sem_ocu,fall_les,g_hora_5,hora_ocu,mes_ocu,modelo_veh,tipo_eve,tipo_veh
2019,5,17,14,1,2,3,20,1,9999,6,4
2019,5,14,14,1,2,1,1,1,9999,6,4
2019,5,14,14,1,2,1,1,1,9999,6,4
2019,5,7,14,1,1,3,19,1,9999,6,4
2019,14,1,15,2,1,1,10,1,9999,1,4
2019,5,1,15,2,2,1,11,1,9999,1,4
2019,5,1,15,2,1,2,16,1,2018,2,4
2019,5,1,15,2,2,3,20,1,2001,1,4
2019,1,1,15,2,2,1,7,1,9999,1,4
2019,5,1,15,2,2,1,7,1,9999,1,4
2019,1,1,15,2,2,1,7,1,9999,1,4
2019,99,1,15,2,2,1,6,1,9999,1,4
2019,5,20,15,2,2,2,16,1,9999,1,4
2019,5,20,15,2,2,2,16,1,9999,1,4
2019,4,5,15,2,2,3,19,1,9999,1,3
2019,4,5,15,2,2,3,19,1,9999,1,3
2019,2,5,15,2,2,3,19,1,9999,1,9
2019,2,5,15,2,2,3,19,1,9999,1,9
2019,2,5,15,2,2,3,19,1,9999,1,9
2019,2,5,15,2,2,3,19,1,9999,1,9
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,99,5,15,2,2,1,6,1,9999,3,12
2019,1,2,15,2,2,1,2,1,9999,6,4
2019,99,3,15,2,2,3,20,1,9999,1,4
2019,3,1,16,3,2,2,16,1,9999,6,4
2019,3,1,16,3,2,1,6,1,9999,1,4
2019,5,1,16,3,2,3,20,1,2016,1,4
2019,1,1,16,3,2,1,5,1,9999,1,4
2019,1,1,16,3,2,1,9,1,9999,1,4
2019,5,1,16,3,2,1,8,1,2015,1,4
2019,1,1,16,3,2,1,9,1,9999,1,4
2019,1,1,16,3,1,1,9,1,9999,1,4
2019,99,1,16,3,2,2,17,1,2018,1,4
2019,5,1,16,3,1,3,22,1,9999,6,4
2019,5,20,16,3,2,3,22,1,2013,1,4
2019,99,19,16,3,1,3,21,1,9999,1,4
2019,99,19,16,3,2,3,21,1,9999,1,4
2019,1,6,16,3,2,1,5,1,9999,1,4
2019,2,12,16,3,2,1,7,1,9999,3,6
2019,2,17,16,3,2,3,20,1,9999,1,3
2019,2,17,16,3,2,3,20,1,9999,1,3
2019,5,14,16,3,2,1,9,1,1993,1,4
2019,14,1,17,4,2,1,7,1,2018,1,4
2019,1,1,17,4,2,3,22,1,9999,1,2
2019,1,1,17,4,2,3,23,1,2018,2,4
2019,99,1,17,4,2,3,19,1,9999,1,4
2019,99,22,17,4,1,1,8,1,9999,1,4
2019,4,5,17,4,2,2,15,1,9999,1,4
2019,4,6,17,4,2,3,19,1,9999,1,9
2019,4,6,17,4,2,3,19,1,9999,1,9
2019,1,15,17,4,2,1,9,1,9999,1,4
2019,3,1,18,5,1,1,1,1,9999,1,4
2019,3,1,18,5,2,1,6,1,9999,1,4
2019,3,1,18,5,2,1,6,1,9999,1,4
2019,4,1,18,5,2,3,23,1,2002,1,2
2019,4,1,18,5,2,3,23,1,9999,1,2
2019,4,1,18,5,2,3,23,1,2002,1,2
2019,4,1,18,5,2,3,23,1,9999,1,2
2019,2,1,18,5,2,1,4,1,2009,3,1
2019,5,1,18,5,1,2,12,1,9999,6,4
2019,5,1,18,5,2,2,12,1,9999,6,4
2019,3,1,18,5,2,2,17,1,1996,1,1
2019,5,1,18,5,2,3,23,1,9999,1,4
2019,5,1,18,5,2,1,0,1,9999,1,4
2019,1,1,18,5,2,2,15,1,9999,1,4
2019,99,1,18,5,2,2,13,1,9999,1,4
2019,5,22,18,5,2,3,22,1,1998,3,3
2019,1,5,18,5,2,3,20,1,2016,3,1
2019,4,5,18,5,2,3,22,1,9999,1,1
2019,5,5,18,5,2,3,22,1,2001,1,6
2019,5,5,18,5,2,1,8,1,2007,1,3
2019,5,5,18,5,2,1,8,1,1993,1,3
2019,1,5,18,5,1,3,22,1,9999,6,4
2019,1,5,18,5,2,3,22,1,9999,6,4
2019,4,11,18,5,2,1,0,1,9999,1,1
2019,3,16,18,5,2,3,20,1,9999,6,4
2019,3,16,18,5,2,3,20,1,9999,6,4
2019,5,1,19,6,2,1,6,1,9999,6,3
2019,99,1,19,6,2,1,11,1,9999,6,4
2019,99,1,19,6,2,1,11,1,9999,1,4
2019,99,15,19,6,2,1,7,1,9999,1,4
2019,99,15,19,6,2,1,7,1,9999,1,4
2019,5,5,19,6,1,3,22,1,9999,1,4
2019,99,10,19,6,2,2,14,1,9999,1,3
2019,3,18,19,6,2,1,5,1,9999,1,4
2019,99,18,19,6,1,3,19,1,9999,1,4
2019,4,17,19,6,1,1,8,1,9999,3,1
2019,4,17,19,6,1,1,8,1,9999,3,1
2019,4,17,19,6,2,1,8,1,9999,3,1
2019,3,1,19,6,2,1,7,1,2013,1,4
2019,2,1,19,6,2,2,17,1,2018,1,3
2019,99,1,19,6,2,3,22,1,2018,1,4
2019,5,1,20,7,2,1,1,1,9999,1,4
2019,5,1,20,7,2,1,1,1,9999,1,4
2019,5,1,20,7,2,1,1,1,9999,1,4
2019,5,1,20,7,2,1,1,1,2008,1,4
2019,1,1,20,7,2,1,8,1,2014,1,4
2019,1,1,20,7,2,1,8,1,2014,1,4
2019,5,1,20,7,2,1,8,1,9999,1,4
2019,99,22,20,7,2,2,16,1,9999,1,4
2019,5,11,20,7,2,1,1,1,9999,1,4
2019,99,20,20,7,2,3,21,1,9999,1,4
2019,3,1,20,7,2,1,10,1,9999,1,4
2019,8,1,20,7,2,2,15,1,9999,1,1
2019,8,1,20,7,2,2,15,1,9999,1,1
2019,8,1,20,7,2,2,15,1,9999,1,1
2019,8,1,20,7,2,2,15,1,9999,1,1
2019,1,5,20,7,2,1,9,1,9999,1,12
2019,5,5,21,1,2,2,15,1,2010,1,4
2019,99,9,21,1,2,1,0,1,9999,1,9
2019,9,1,21,1,2,3,22,1,1994,1,1
2019,9,1,21,1,2,3,22,1,1994,1,1
2019,9,1,21,1,2,3,22,1,1994,1,1
2019,5,1,21,1,2,3,21,1,9999,1,4
2019,5,21,22,2,2,2,16,1,2008,1,4
2019,99,5,22,2,2,2,14,1,9999,1,4
2019,2,15,22,2,2,1,8,1,9999,1,4
2019,3,20,22,2,2,1,8,1,9999,3,3
2019,3,20,22,2,1,1,8,1,9999,3,3
2019,3,20,22,2,2,1,8,1,9999,3,3
2019,3,20,22,2,2,1,8,1,9999,3,3
2019,3,20,22,2,2,1,8,1,9999,3,3
2019,3,20,22,2,2,1,8,1,9999,3,3
2019,2,1,22,2,2,3,22,1,9999,1,4
2019,2,1,23,3,2,1,1,1,9999,1,4
2019,11,5,23,3,2,1,10,1,9999,1,1
2019,11,5,23,3,2,1,10,1,9999,1,1
2019,11,5,23,3,2,1,10,1,9999,1,1
2019,11,5,23,3,2,1,10,1,9999,1,1
2019,11,5,23,3,2,1,10,1,9999,1,1
2019,3,2,23,3,2,2,15,1,1998,1,7
2019,3,2,23,3,2,2,15,1,1998,1,7
2019,3,2,23,3,2,2,15,1,1998,1,7
2019,3,2,23,3,2,2,15,1,1998,1,7
2019,3,2,23,3,2,2,15,1,1998,1,7
2019,2,1,23,3,2,3,23,1,2017,4,4
2019,1,1,23,3,2,2,16,1,2015,1,4
2019,1,16,23,3,2,3,21,1,9999,1,4
2019,99,1,23,3,2,2,13,1,9999,1,4
2019,1,1,24,4,2,3,21,1,9999,1,1
2019,5,1,24,4,2,2,17,1,9999,1,4
2019,1,1,24,4,2,1,1,1,9999,2,4
2019,1,1,24,4,2,1,1,1,9999,2,4
2019,1,1,24,4,2,1,0,1,9999,1,4
2019,3,1,24,4,2,2,14,1,9999,1,4
2019,6,1,24,4,2,3,18,1,9999,1,4
